Model;Category;Starting Price;Monthly Lease Price;Balloon Monthly Payment;Balloon Interest Rate;Balloon APR;Balloon Down Payment;Balloon Duration;Balloon Last Installment;Balloon Final Payment;Balloon Total Cost;Balloon Credit Amount;URL
CLA Elektrisch;Berline;€ 49.610,00;Vanaf € 406,50 / maand;633,83 €;2,99%;2,99%;9.922,00 €;48 Maand;12.402,50 €;12.402,50 €;42.826,34 €;39.688,00 €;https://www.mercedes-benz.be/nl_BE/passengercars/models/saloon/cla-electric/overview.html
CLA;Berline;€ 44.770,00;Vanaf € 406,50 / maand;571,99 €;2,99%;2,99%;8.954,00 €;48 Maand;11.192,50 €;11.192,50 €;38.648,02 €;35.816,00 €;https://www.mercedes-benz.be/nl_BE/passengercars/models/saloon/cla/overview.html
C-Klasse Berline;Berline;€ 48.884,00;Vanaf € 443,82 / maand;646,00 €;3,99%;3,99%;9.776,80 €;48 Maand;12.221,00 €;12.221,00 €;43.229,00 €;39.107,20 €;https://www.mercedes-benz.be/nl_BE/passengercars/models/saloon/c-class/overview.html
EQE Berline;Berline;€ 67.760,00;Vanaf € 517,85 / maand;895,44 €;3,99%;3,99%;13.552,00 €;48 Maand;16.940,00 €;16.940,00 €;59.921,12 €;54.208,00 €;https://www.mercedes-benz.be/nl_BE/passengercars/models/saloon/eqe/overview.html
EQS Berline;Berline;€ 96.800,00;N/A;1.279,20 €;3,99%;3,99%;19.360,00 €;48 Maand;24.200,00 €;24.200,00 €;85.601,60 €;77.440,00 €;https://www.mercedes-benz.be/nl_BE/passengercars/models/saloon/eqs/overview.html
E-Klasse Berline;Berline;€ 60.863,00;Vanaf € 609,43 / maand;857,51 €;5,99%;5,99%;12.172,60 €;48 Maand;15.215,75 €;15.215,75 €;56.376,23 €;48.690,40 €;https://www.mercedes-benz.be/nl_BE/passengercars/models/saloon/e-class/overview.html
S-Klasse;Berline;€ 123.904,00;Vanaf € 1590,87 / maand;1.637,38 €;3,99%;3,99%;24.780,80 €;48 Maand;30.976,00 €;30.976,00 €;109.570,24 €;99.123,20 €;https://www.mercedes-benz.be/nl_BE/passengercars/models/saloon/s-class/overview.html
S-Klasse Lang;Berline;€ 126.929,00;Vanaf € 1378,35 / maand;1.677,36 €;3,99%;3,99%;25.385,80 €;48 Maand;31.732,25 €;31.732,25 €;112.245,53 €;101.543,20 €;https://www.mercedes-benz.be/nl_BE/passengercars/models/saloon-long/s-class/overview.html
Mercedes-Maybach S-Klasse;Berline;€ 195.657,00;Vanaf € 1378,35 / maand;2.499,76 €;2,99%;2,99%;39.131,40 €;48 Maand;48.914,25 €;48.914,25 €;168.902,73 €;156.525,60 €;https://www.mercedes-benz.be/nl_BE/passengercars/models/saloon-long/mercedes-maybach-s-class/overview.html
EQA;SUV;€ 53.240,00;Vanaf € 372,92 / maand;750,11 €;5,99%;5,99%;10.648,00 €;48 Maand;13.310,00 €;13.310,00 €;49.315,28 €;42.592,00 €;https://www.mercedes-benz.be/nl_BE/passengercars/models/suv/eqa/overview.html
EQB;SUV;€ 58.685,00;Vanaf € 412,89 / maand;749,77 €;2,99%;2,99%;11.737,00 €;48 Maand;14.671,25 €;14.671,25 €;50.660,21 €;46.948,00 €;https://www.mercedes-benz.be/nl_BE/passengercars/models/suv/eqb/overview.html
EQE SUV;SUV;€ 84.700,00;Vanaf € 579,05 / maand;1.119,30 €;3,99%;3,99%;16.940,00 €;48 Maand;21.175,00 €;21.175,00 €;74.901,40 €;67.760,00 €;https://www.mercedes-benz.be/nl_BE/passengercars/models/suv/eqe/overview.html
EQS SUV;SUV;€ 124.025,00;Vanaf € 1181,17 / maand;1.747,42 €;5,99%;5,99%;24.805,00 €;48 Maand;31.006,25 €;31.006,25 €;114.882,41 €;99.220,00 €;https://www.mercedes-benz.be/nl_BE/passengercars/models/suv/eqs/overview.html
